id,quid,question,answer,answer_type,choices,answer_word,facts
15,,I twist and turn and leaves a loop.  What am I?,E,MULTIPLE_CHOICE,"A) heel
B) electric
C) card
D) turnstile
E) shoelace",,
16,,"the old one runs forever, it has no voice at all.  It had no lungs or throat, but it can still make a roaring call.  What is it?",D,MULTIPLE_CHOICE,"A) kettle
B) inn
C) channel
D) waterfall
E) fogey",,
17,,What kind of fall that you might die from?,A,MULTIPLE_CHOICE,"A) waterfall
B) tap
C) living things
D) break
E) stifle",,
18,,"Bright as diamonds, Loud as thunder, Never still, A thing of wonder.  What am I?",E,MULTIPLE_CHOICE,"A) beverage
B) element
C) first water
D) situation
E) waterfall",,
19,,"I run, though I have no legs to be seen.  I possess no heat, though I do have steam.  I have no voice to let words out, but from far away you can still he me shout.   What am I?",A,MULTIPLE_CHOICE,"A) waterfall
B) water gas
C) water hammer
D) teakettle
E) rapid",,
20,,"Six legs, two heads, two hands, one long nose yet i use only four legs wherever i go what am i ??",C,MULTIPLE_CHOICE,"A) pommel horse
B) woman
C) horseman
D) chief
E) zebra",,
21,,"What does no man want, yet no man want to lose?",A,MULTIPLE_CHOICE,"A) job
B) enthusiast
C) machine
D) loss
E) marmoset",,
22,,What can be heard and caught but never be seen?,E,MULTIPLE_CHOICE,"A) color
B) infrared light
C) activity
D) cry
E) remark",,
23,,"I light on fire, I drip but I burn.  What am I?",B,MULTIPLE_CHOICE,"A) touch
B) candle
C) photons
D) lamplight
E) anchor light",,
24,,If you allow me to live I shall not live long.   But if you kill me I shall live longer,A,MULTIPLE_CHOICE,"A) candle
B) spring forth
C) end life
D) faith
E) pen",,
25,,"I cry, yet I have no eyes.  Darkness follows me, yet you still see me.  What am I?",E,MULTIPLE_CHOICE,"A) blackout
B) use
C) tear up
D) painless
E) candle",,
26,,"Little Nanncy Etticoat,  In a white petticoat,  And a red nose.   The longer she stands,  The sharter she grows. ",B,MULTIPLE_CHOICE,"A) pliers
B) candle
C) dark red
D) sniff
E) leg",,
27,,"I shed my skin for you, in darkness I guide you through.  To use me for what I am combine me with God's wrath or hand. ",E,MULTIPLE_CHOICE,"A) lit
B) reading
C) statuette
D) salute
E) candle",,
28,,I am easy to get into but hard to get out of.   What am I?,C,MULTIPLE_CHOICE,"A) danger
B) woman
C) trouble
D) being
E) trapped",,
29,,I can be crystal clear But also pitch black.  people like me when i am as clear as the fresh air.  You can find me just about everywhere.  Besides the desert.  im very important to have.  any living thing can not live without me.  in very hot places im so desirable.  i come in jug containers or you can find me running through pipes.  What am i?,D,MULTIPLE_CHOICE,"A) refractive index
B) bunker
C) discharge pipe
D) water
E) trial",,
30,,"Three lives have I.    Gentle enough to soothe the skin,   Light enough to caress the sky,   Hard enough to crack rocks.   What am I?",E,MULTIPLE_CHOICE,"A) iron
B) rough
C) life line
D) fine art
E) water",,
31,,What can you put into a glass but can't take out?,E,MULTIPLE_CHOICE,"A) safety glass
B) bowl
C) plate glass
D) bottles
E) water",,
32,,"what is clear, but easily gets dirty.  it is sometimes hard, but mostly not.  somethings can live in it, but if we do well die.  it might not sound important, but yes it is, and without it there will bbe no life. ",C,MULTIPLE_CHOICE,"A) plain
B) clearing
C) water
D) great
E) love life",,
33,,Say silk five times fast.    Spell silk.    What do cows drink?,D,MULTIPLE_CHOICE,"A) pub crawl
B) translucence
C) phosphoric acid
D) water
E) way",,
34,,"Black within and red without,  With four corners round and about.   What is it?",B,MULTIPLE_CHOICE,"A) bowler hats
B) chimney
C) tables
D) bowler hat
E) clock",,
35,,"I'm green most of the time  Multicolored sometimes, gone others  I hate the cold  I have many twin brothers and sisters  I have one parent with many arms  My parent can't move.   What am I?",A,MULTIPLE_CHOICE,"A) leaves
B) chromatic color
C) approach
D) passes
E) yard",,
36,,an i dance and i am all over the world,D,MULTIPLE_CHOICE,"A) making
B) bald eagle
C) whole
D) leaves
E) slide",,
37,,"I am around when the days get short, and the nights long.  I am everywhere that you can see.  I scream undertoe when you walk over me.  What am I?",E,MULTIPLE_CHOICE,"A) hit
B) rake
C) branch
D) tract
E) leaves",,
38,,"Walk on the living, they don't even mumble.  Walk on the dead, they mutter and grumble.  What are they?",A,MULTIPLE_CHOICE,"A) leaves
B) crosswalk
C) stalk
D) decompose
E) jog",,
39,,I work when i play and play when i work what am i ??,D,MULTIPLE_CHOICE,"A) prelude
B) room
C) sound
D) musician
E) noise",,
40,,The older they are the less wrinkles they have. ,E,MULTIPLE_CHOICE,"A) steam
B) youthful appearance
C) gray
D) empire
E) tires",,
41,,"What always was, yet I can never be?",E,MULTIPLE_CHOICE,"A) stock certificate
B) roman multiplication
C) caravan
D) buy books
E) yesterday",,
42,,Whats the one thing we have all seen and we'll never see again?,E,MULTIPLE_CHOICE,"A) tyrant
B) third person
C) jimdandy
D) c
E) yesterday",,
43,,What did Sir Lancelot wear to bed?,B,MULTIPLE_CHOICE,"A) linen closet
B) knight gown
C) nightdress
D) music
E) use",,
44,,"I am the heart that does not beat.  If cut, I bleed without blood.  I can fly, but have no wings.  I can float, but have no fins.  I can sing, but have no mouth. ",E,MULTIPLE_CHOICE,"A) linden
B) forge
C) speaker
D) drift
E) wood",,
45,,I am the center of gravity  and the start of all views.   I am in lives but not in deaths.   I am similar to see   even though I am less than three,B,MULTIPLE_CHOICE,"A) earnestness
B) v
C) differential
D) mystery
E) agreement",,
46,,"With thieves I consort,   With the vilest, in short,   I'm quite at ease in depravity;   Yet all divines use me,   And savants can't lose me,   For I am the center of gravity",A,MULTIPLE_CHOICE,"A) v
B) holdup man
C) hit
D) geographical region
E) eases",,
47,,What is the center of gravity?,C,MULTIPLE_CHOICE,"A) winger
B) student center
C) v
D) area
E) trade",,
48,,They cut doors in half and wear wooden shoes. ,A,MULTIPLE_CHOICE,"A) dutch
B) hasp
C) polish
D) bore
E) antique shop",,
49,,You throw away the outside then cook the inside  Then you eat the outside then throw away the inside               What am I?,C,MULTIPLE_CHOICE,"A) baking
B) marmoset
C) corn
D) drinking
E) oil",,
50,,What can be broken without touching it?,A,MULTIPLE_CHOICE,"A) promise
B) ripple
C) puncture
D) use
E) separate",,
51,,What can you break without hitting or dropping it?,E,MULTIPLE_CHOICE,"A) massage
B) program
C) axis
D) rainfall
E) promise",,
52,,You can't keep this without giving it first?,D,MULTIPLE_CHOICE,"A) possession
B) out
C) charity
D) promise
E) indian giver",,
53,,"The cost of making only the maker knows,   Valueless if bought, but sometimes traded.    A poor man may give one as easily as a king.    When one is broken pain and deceit are assured. ",B,MULTIPLE_CHOICE,"A) undertaking
B) promise
C) striker
D) breaker
E) pay tribute",,
54,,What do you give to others but still try and keep?,C,MULTIPLE_CHOICE,"A) means
B) why
C) promise
D) look
E) seek",,
55,,"Two bodies have I,   though both joined in one.    The more still I stand,   the quicker I run.     What am I?",A,MULTIPLE_CHOICE,"A) hourglass
B) belt
C) filler
D) music
E) campana",,
56,,"My first is a part of the day,   My last a conductor of light, My whole to take measure of time, Is useful by day and by night.  What am I?",C,MULTIPLE_CHOICE,"A) minute
B) time unit
C) hourglass
D) minutes
E) time period",,
57,,A sundial is the timepiece with the least amount of moving parts.   What is the timepiece with the greatest amount of moving parts?,A,MULTIPLE_CHOICE,"A) hourglass
B) minute
C) taking
D) timekeeper
E) timer",,
58,,What is black and white and read all over?,A,MULTIPLE_CHOICE,"A) newspaper
B) print
C) piece
D) skim
E) reply",,
59,,"black within and read without,   with four corners round about,   what am I",A,MULTIPLE_CHOICE,"A) newspaper
B) novel
C) commodity
D) reader
E) light source",,
60,,what fo people like to read,E,MULTIPLE_CHOICE,"A) literate
B) page
C) articles
D) shark
E) newspaper",,
61,,what goes up the stairs black and white and comes back down the stairs red?,A,MULTIPLE_CHOICE,"A) newspaper
B) shade
C) pigment
D) black and white
E) black",,
62,,i am a paper with that you get every day or week i come in a paper bin what am i ?,D,MULTIPLE_CHOICE,"A) leaf
B) front porch
C) position paper
D) newspaper
E) paper toweling",,
63,,He died for people's entertainment. ,D,MULTIPLE_CHOICE,"A) annual
B) police
C) ache
D) gladiator
E) offspring",,
64,,"Ripped from my mother's womb,  Beaten and burned,  I become a blood-thirsty slayer,  What am I?",B,MULTIPLE_CHOICE,"A) clutter
B) iron ore
C) japanese executioner
D) horsefly
E) flesh wound",,
65,,"Soldiers line up spaced with pride,  Two long rows lined side by side.   One sole unit can decide,  If the rows will unite or divide.   Tell me, tell me, scream it out.   What's the thing I talk about?",D,MULTIPLE_CHOICE,"A) cavity
B) lips
C) cover
D) zipper
E) copula",,
66,,"Its tail is round and hollow,Seems to get chewed a bit,But you'll rarely see this thingUnless the other end is lit. ",C,MULTIPLE_CHOICE,"A) tobacco
B) hydrogen
C) pipe
D) ONG
E) flame thrower",,
67,,"Never resting, never still.   Moving silently from hill to hill.   It does not walk, run or trot,  All is cool where it is not.    What is it?",C,MULTIPLE_CHOICE,"A) jog
B) isle
C) sunshine
D) landmark
E) never stop",,
68,,you're confused and i am to  what to the world this thing could do?,C,MULTIPLE_CHOICE,"A) sextet
B) seas
C) riddle
D) fictional character
E) whole shebang",,
69,,"I am something when you make me, I hold your knowledge, I have the answer, I am as you make me I am this of which I have just said,   what am I?",A,MULTIPLE_CHOICE,"A) riddle
B) reply
C) purr
D) polymath
E) household arts",,
70,,WHEN YOU KMOW WHAT I AM I AM SOMETHING BUT WHEN YOU DON'T KNOW WHAT I AM THEN I AM NOTHING.  WHAT AM I?,A,MULTIPLE_CHOICE,"A) riddle
B) knows
C) unknowingness
D) sit quietly
E) edge",,
71,,"I play with your mind, i ensnare your thoghts, i bend your mind to figure me out.  I laugh at your strugle, your intensity in thought, my tricks trap you and decieve you, though some can guess my questions while other despair in thought.  Some are weak to me other overcome my challenges yet only if you can figure me out will you get the answer.  Who or What am I?",A,MULTIPLE_CHOICE,"A) riddle
B) rag
C) call
D) questions
E) difference",,
72,,"I may be simple, I may be complex; I may have a name, but no gender or sex; I am often a question, or statements as a setup; I tend to have an answer, 'til you find it I won't let up.  What am I?",D,MULTIPLE_CHOICE,"A) reply
B) pickup
C) sex kitten
D) riddle
E) blame",,
73,,"Even if you give this to someone else, you still get to keep it.    What is it?",E,MULTIPLE_CHOICE,"A) contempt
B) windshield wipers
C) purl
D) train wreck
E) your word",,
74,,You cannot keep me until you have given me.  What am I?,B,MULTIPLE_CHOICE,"A) vest
B) your word
C) demise
D) tribute
E) whatever you desire",,
75,,"Two words, my answer is only two words.    To keep me, you must give me. ",C,MULTIPLE_CHOICE,"A) meaning
B) sign
C) your word
D) modifier
E) vowel",,
76,,"When Miss Millie purchased her new parrot, the salesman assured her that it would repeat any word it heard.  About a week later, Miss Millie returned the parrot complaining it hadn't uttered a single word.     Given that the salesman had spoken the truth about the parrot's abilities, why wouldn't the bird talk?",B,MULTIPLE_CHOICE,"A) special
B) parrot was deaf
C) air sac
D) birdbrain
E) learn to sing",,
77,,"what is smaller than a sink but bigger than a cup, yet the mississipi river wont fill it up?",B,MULTIPLE_CHOICE,"A) lance
B) strainer
C) berry
D) bathroom cabinet
E) an",,
78,,"what is as big as a biscuit, and deep as a cup               but not even a river                 can fill it up?",C,MULTIPLE_CHOICE,"A) nissan
B) little
C) strainer
D) cliff
E) plane",,
79,,"A hill full,  A hole full,  Yet you cannot catch a bowl full.   What is it?",E,MULTIPLE_CHOICE,"A) gopher hole
B) cereal bowl
C) lemur
D) center punch
E) mist",,
80,,"I can be quick and then I'm deadly,  I am a rock, shell and bone medley.   If I was made into a man, I'd make people dream,  I gather in my millions by ocean, sea and stream. ",A,MULTIPLE_CHOICE,"A) sand
B) flounders
C) black and white
D) sign
E) white man",,
81,,"What measures out time,   Until in time   All is smashed to it?",B,MULTIPLE_CHOICE,"A) bugs
B) sand
C) place
D) travel
E) deep",,
82,,When I go to the beach.   I am found. When I go in the water I am smoth.   What am I. ,B,MULTIPLE_CHOICE,"A) pebble
B) sand
C) chlorophyll
D) bugs
E) plaster",,
83,,"I build up castles.    I tear down mountains.    I make some men blind,   I help others to see.    What am I?",A,MULTIPLE_CHOICE,"A) sand
B) feature
C) snowman
D) black
E) black man",,
84,,I am not alive but I can die.   What am I?,B,MULTIPLE_CHOICE,"A) tap
B) battery
C) liveness
D) cog
E) symbol",,
85,,somthing fun on its bum what is it,D,MULTIPLE_CHOICE,"A) entertainment
B) kissing
C) travel bag
D) chocolate
E) learning",,
86,,"What's dark, different lengths and enjoyable?",B,MULTIPLE_CHOICE,"A) sound
B) chocolate
C) area
D) entertainment
E) oil",,
87,,"Sometimes I am light, sometimes I am dark.   Most people like me.   What am I?",C,MULTIPLE_CHOICE,"A) touch
B) taste
C) chocolate
D) fireplace
E) quality",,
88,,"I can be black or white.  I can be cold or hot, what am I?",C,MULTIPLE_CHOICE,"A) creature
B) horse
C) chocolate
D) spit
E) tinderbox",,
89,,"Shifting, Shifting, Drifting deep. Below me great and mighty cities sleep. Swirling, Scurlling, All around. I'm only where no water will be found. ",C,MULTIPLE_CHOICE,"A) adit
B) bus station
C) desert
D) scorch
E) area",,
90,,"With my pair I should be,But I am usually alone you see,For a monster always eats me. Do you know what I must be?",E,MULTIPLE_CHOICE,"A) hold
B) prodigy
C) monsters
D) bogeyman
E) socks",,
91,,"A natural state, I'm sought by all.  Go without me, and you shall fall.  In times past you'd me when you spend, and use me when you eat to no end.   What am I?",C,MULTIPLE_CHOICE,"A) timepiece
B) spectrogram
C) balance
D) feast
E) being",,
92,,"black as night or ink,  i will comfort you,  but be wary for your   horses i tire",D,MULTIPLE_CHOICE,"A) sleeping
B) color
C) firefly
D) coal
E) press",,
93,,"Black I am and much admired, men seek me until they're tired.  When they find me, they break my head, and take from me my resting bed.  What am I?",C,MULTIPLE_CHOICE,"A) bedstead
B) bunk bed
C) coal
D) asparagus bed
E) berth",,
94,,"black we are and much addmired, men seek for us if they are tiered.  we tire the horses and confort the man, tell me this riddle if you can. ",A,MULTIPLE_CHOICE,"A) coal
B) onions
C) carbon black
D) fireplace
E) marmoset",,
95,,What goose in black turns red and comes out gray,E,MULTIPLE_CHOICE,"A) red barn
B) mouse
C) reading
D) black
E) coal",,
96,,"Looks like water, but it's heat.  Sits on sand, lays on concrete.  People have been known, To follow it everywhere.  But it gets them no place, And all they can do is stare. ",E,MULTIPLE_CHOICE,"A) flume
B) lead
C) wash
D) stitch
E) mirage",,
97,,A burning fire in one's heart  yet in ONE lion will never start  Across the nations influences people  yet can not be seen through a peep hole,E,MULTIPLE_CHOICE,"A) cardiac muscle
B) coronary artery
C) courage to act
D) heart valve
E) courage",,
98,,"I am born in fear, raised in truth,   and I come to my own in deed.    When comes a time that I'm called forth,   I come to serve the cause of need.   What am I?",D,MULTIPLE_CHOICE,"A) regret
B) hero
C) serve others
D) courage
E) reward",,
99,,Downward grows the root.  Outward grows the skin. Upward grows the shoot.  What way blows the wind?,B,MULTIPLE_CHOICE,"A) buffet
B) wayward
C) splay
D) rightward
E) strip",,
100,,"No head has he but he wears a hat.  No feet has he but he stands up straight.  On him perhaps a fairy sat, weaving a spell one evening late!",E,MULTIPLE_CHOICE,"A) spells
B) wash
C) missing legs
D) shade
E) toadstool",,
101,,"I cut through evil   like a double edged sword,   And chaos flees at my approach.    Balance I single-handedly upraise,   Through battles fought with heart and mind,   Instead of with my gaze.     What am I?",B,MULTIPLE_CHOICE,"A) seeing
B) justice
C) middle
D) conflict
E) judgement",,
102,,"Thousands lay up gold within this house, But no man made it.  Spears past counting guard this house, But no man wards it. ",B,MULTIPLE_CHOICE,"A) homeless
B) beehive
C) nasal
D) woman
E) bedroom window",,
103,,"Golden treasures I contain, guarded by hundreds and thousands.  Stored in a labyrinth where no man walks, yet men come often to seize my gold.     By smoke I am overcome and robbed, then left to build my treasure anew.     What am I?",D,MULTIPLE_CHOICE,"A) flight
B) group
C) support
D) beehive
E) gather",,
104,,"I am good at concealing what's real and hide what's true. Sometime, I bring out the courage in you!What am I?",E,MULTIPLE_CHOICE,"A) lift
B) coin
C) occult
D) shroud
E) makeup",,
105,,"An open ended barrel, I am shaped like a hive.  I am filled with the flesh, and the flesh is alive! What am I?",D,MULTIPLE_CHOICE,"A) organization
B) structure
C) rosebud
D) thimble
E) step",,
106,,"Break me and i am better, immediately set and harder to be broken again what am i ??",A,MULTIPLE_CHOICE,"A) record
B) article
C) structure
D) statement
E) scale",,
107,,I ate one and threw away two.  What is it?,B,MULTIPLE_CHOICE,"A) throws
B) oyster
C) receptacles
D) meal
E) launch",,
108,,"Slayer of regrets, old and new, sought by many, found by few.  What am I?",E,MULTIPLE_CHOICE,"A) sanitarium
B) shilling
C) liberty
D) spanking
E) redemption",,
109,,I bind it and it walks.  I loose it and it stops. ,C,MULTIPLE_CHOICE,"A) slip
B) compromise
C) sandal
D) perambulation
E) beat",,
110,,"We travel much, yet prisoners are, and close confined to boot.  Yet with any horse, we will keep the pace, and will always go on foot.  What are they?",C,MULTIPLE_CHOICE,"A) ski boot
B) heels
C) spurs
D) remove
E) gum boot",,
111,,There is a creature of God whose body is hard; it does not wish to eat unless you strike its head. ,C,MULTIPLE_CHOICE,"A) purpose
B) predestination
C) chisel
D) lift
E) act of god",,
112,,"The more of these you take, the more appear behind you.  What am I?",E,MULTIPLE_CHOICE,"A) come
B) fulminate
C) autumnal equinox
D) appearance
E) steps",,
113,,A doctor gives you three pills and tells you to take one every 30 minutes.   How long does it take to run out of pills?,D,MULTIPLE_CHOICE,"A) support
B) waiting room
C) minute gun
D) one hour
E) note",,
114,,How many 9's are there between 1 and 100?,A,MULTIPLE_CHOICE,"A) 20
B) hundred
C) magic number
D) pentagon
E) hippocrates",,
115,,David's mom had four kids.  The first one was a boy named Jimmy.  The second one was a girl named Sammy.  The third was a boy named Chris.  The fourth one was a boy.  What was his name?,A,MULTIPLE_CHOICE,"A) david
B) urchin
C) cupcake
D) forename
E) chinese",,
116,,"David's father has three sons: Snap, Crackle, and ?",C,MULTIPLE_CHOICE,"A) hit
B) great grandson
C) david
D) paternity test
E) crackleware",,
117,,"The sun bakes them, the hand breaks them, the foot treads on them, and the mouth tastes them.  What are they?",C,MULTIPLE_CHOICE,"A) squash
B) horse
C) grapes
D) pie
E) shells",,
118,,"When young, I am sweet in the sun.  When middle-aged, I can help to make you healthy.  When old, I am valued more than ever What am I?",E,MULTIPLE_CHOICE,"A) soda
B) serve
C) chewing gum
D) state
E) grapes",,
119,,All men take off their hats to one person.  Who is this person?,C,MULTIPLE_CHOICE,"A) crowd
B) detective
C) barber
D) commentator
E) weasel",,
120,,"A man shaves several times a day, yet he still has a beard.   Who is this man?",D,MULTIPLE_CHOICE,"A) gray
B) camp
C) donor
D) barber
E) metric",,
121,,"There's a butcher and he's 6"" 2 and his wife is 5"" 3.  His wife weighs 160lbs.  What does the butcher weigh?",B,MULTIPLE_CHOICE,"A) seller
B) meat
C) heifer
D) flora
E) dutch",,
122,,"Tom's height is six feet, he is an assistant at a butcher's shop, and wears size 12 shoes.  What does he weigh?",D,MULTIPLE_CHOICE,"A) exchange
B) invertebrate
C) cafe
D) meat
E) outerwear",,
123,,"The sun weight mesures 300,000 times as much as earth's, what would it weigh if it were a clerk in a butcher shop?",D,MULTIPLE_CHOICE,"A) salesman
B) cuts
C) buy
D) meat
E) arcade",,
124,,there is a butcher that is five foot five(5. 5). . . . . . . . . . . . . . . . . . . . . . . . what does he wiegh???,D,MULTIPLE_CHOICE,"A) bill
B) bought food
C) beef
D) meat
E) scale",,
125,,"a butcher has a 36 inch waist around, and he's 5 feet tall.   what does he weigh???",D,MULTIPLE_CHOICE,"A) single
B) beef
C) bill
D) meat
E) dress",,
126,,"What's long, different colors, make you feel like your in heaven, and is inserted somewhere?",B,MULTIPLE_CHOICE,"A) achromatism
B) rainbow
C) island
D) stroke
E) soup",,
127,,I am the only bowyoucannot tie.  What am I?,E,MULTIPLE_CHOICE,"A) ties
B) neckerchief
C) Bows and Arrows
D) string tie
E) rainbow",,
128,,"it is light;but its to high to touch,it is colourful too!!",B,MULTIPLE_CHOICE,"A) fountain
B) rainbow
C) low
D) air mass
E) elation",,
129,,im blue not black im red not grey im yellow not brown im green not gold what am i?,D,MULTIPLE_CHOICE,"A) world
B) salt
C) skies
D) rainbow
E) blue shield",,
130,,What ends in a 'w' but has no end?,B,MULTIPLE_CHOICE,"A) latter
B) rainbow
C) lineman
D) railhead
E) stories",,
131,,"I spend most of my day eating white.  When I am quick enough, I get rewarded with fruit and somethings blue.  In a dark room with blue walls, I run from the ghost that roam the halls.  What am I?",D,MULTIPLE_CHOICE,"A) groundhog day
B) wedding day
C) niceness
D) pacman
E) cockpit",,
132,,I am a delicious way of representing data.  What am I?,C,MULTIPLE_CHOICE,"A) set of facts
B) set of questions
C) pie chart
D) scale
E) route",,
133,,"I like to twirl my body but keep my head up high.  After I go in, everything becomes tight.  What am I?",B,MULTIPLE_CHOICE,"A) projection
B) screw
C) amsterdam
D) headphone
E) headship",,
134,,"I eat as you turn me,  my blade cutting wood,   when I am full,  empty me you should.     What am I?",D,MULTIPLE_CHOICE,"A) carpentry
B) gouge
C) slicing
D) sharpener
E) mycophage",,
135,,"I am only useful  When I am full,  Yet I am always  Full of holes. ",A,MULTIPLE_CHOICE,"A) sponge
B) rabbits
C) bitstock
D) riddle
E) cakehole",,
136,,"what has holes in it but, can contain water",C,MULTIPLE_CHOICE,"A) spit
B) abyss
C) sponge
D) submarines
E) dry cleaning",,
137,,i AM A SQUARE   PEOPLE BY ME AT THE STORE  THEY WASH DISHES WITH ME,A,MULTIPLE_CHOICE,"A) sponge
B) washup
C) flats
D) bone
E) washing",,
138,,When I Dry I Get Wet.  What Am I ?,E,MULTIPLE_CHOICE,"A) drop
B) slime
C) solder
D) sapsago
E) sponge",,
139,,"In the ocean I live, but one touch of dry land for me, I die.   What am I?",E,MULTIPLE_CHOICE,"A) parcellation
B) nerve
C) churchyard
D) firm
E) sponge",,
140,,I take off my clothes when you put on your clothes.  I put on my clothes when you take off your clothes.  What am I?,C,MULTIPLE_CHOICE,"A) array
B) cotton
C) clothes hanger
D) on a ladder
E) wool",,
141,,I can be simple or I can be complex.  I can be found in this riddle or in everyday life.  I can be shapes or even colors.  What am I?,C,MULTIPLE_CHOICE,"A) junk
B) complexities
C) pattern
D) judge
E) monosaccharide",,
142,,"What is it that when   you take away the whole,   you still have some left over?",B,MULTIPLE_CHOICE,"A) asking
B) wholesome
C) integral
D) neglect
E) permit",,
143,,"I have hands that wave at you,  Though I never say goodbye.   It's cool for you to be with me,  Especially when I say, ""HI. ""  What am I?",E,MULTIPLE_CHOICE,"A) cotton
B) cream
C) refrigeration
D) telephones
E) electric fan",,
144,,Hide me from your parents if you have done bad academically this year.  What am I?,C,MULTIPLE_CHOICE,"A) debt
B) organization
C) report card
D) tannery
E) helium tank",,
145,,"I get paid to shoot people, then blow them up.  What am I?",E,MULTIPLE_CHOICE,"A) shooting gallery
B) security personnel
C) judge
D) janitors
E) photographer",,
146,,Makeup for finger tips.  What am I?,D,MULTIPLE_CHOICE,"A) hit
B) paw
C) mosquito bite
D) nail polish
E) eyebrows",,
147,,Deposit red liquid in me.  What am I?,C,MULTIPLE_CHOICE,"A) spill
B) red guard
C) blood bank
D) burn victim
E) well",,
148,,I save lives on the ground and in the air.  What am I?,E,MULTIPLE_CHOICE,"A) terrace
B) stadium
C) mammoth
D) gases
E) seat belt",,
149,,I was born before my father  Married my sister.   And stood at my mother's grave. ,C,MULTIPLE_CHOICE,"A) booth
B) fatherliness
C) priest
D) authority
E) married",,
150,,"that person has been married many women, but he had never been married.      WHO IS HE?",D,MULTIPLE_CHOICE,"A) labor
B) anchorperson
C) liver
D) priest
E) persons",,
151,,"I moan, I groan, I chase after you.  I never seem to rest.  Time's up for you.  What am I?",E,MULTIPLE_CHOICE,"A) hangover
B) story
C) reading
D) estate
E) children",,
152,,"Although it sounds like I work on a transportation device, I actually work in a restaurant.  What am I?",A,MULTIPLE_CHOICE,"A) busboy
B) patron
C) transport
D) conductor
E) hostess",,
153,,"I am one small little piece of paper, yet sometimes hold lots of value.  I am all you need to get in to big events, but will cost you.  I am an important part of travel.  And if lost, you're not coming.  What am I?",E,MULTIPLE_CHOICE,"A) credit
B) take
C) highlighting
D) plane
E) ticket",,
154,,I am the only organ in the human body that gave itself it's own name.  What am I?,C,MULTIPLE_CHOICE,"A) barrel organ
B) soul
C) brain
D) cavity
E) ectomorph",,
155,,"I have billions of eyes, but I live in darkness.  I have millions of ears, but have only four looms.  I have no muscle and has two hemispheres.   What am I?",B,MULTIPLE_CHOICE,"A) ear
B) brain
C) leg
D) liver
E) skeletal muscle",,
156,,What works on day and sleeps at night  It stays inside and has no light???,C,MULTIPLE_CHOICE,"A) fisherman
B) bullet
C) brain
D) feel
E) characteristic",,
157,,"what can be smart and dumb too,it is also very near you,it is weird and cool too,it can be feared and it needs no fuel, what am i?",B,MULTIPLE_CHOICE,"A) simple
B) brain
C) captain
D) thing
E) mental illness",,
158,,whats red and pink and has tunnels of life flowing through the uneven rigids and is above the rest of its attachment?,E,MULTIPLE_CHOICE,"A) redhead
B) take
C) creature
D) mouse
E) brain",,
